"product","binary file","download page","download link","download name","test flags","publish date","bin file size [B]","comment"
"C1","C1_FW_v01.01.0070.bin",,"http://dl.djicdn.com/downloads/lightbridge2/NEW+FIRMWARE+20161103/C1_FW_v01.01.0070.bin","C1_FW_v01.01.0070.bin",3,"2016-11-03",18988364,
"C1","C1_FW_v01.01.0080.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0080.bin","C1_FW_v01.01.0080.bin",3,"2016-03-15",18989012,
"C1","C1_FW_v01.01.0090.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/C1_FW_v01.01.0090.bin","C1_FW_v01.01.0090.bin",3,"2016-03-24",30046440,
"C1","C1_FW_v01.05.0071.bin",,"https://dl.djicdn.com/downloads/RC/C1_FW_v01.05.0071.bin","C1_FW_v01.05.0071.bin",3,"2016-02-02",29979520,
"C1","C1_FW_v01.06.0001.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.06.0001.bin","C1_FW_v01.06.0001.bin",3,"2016-08-15",30058336,
"C1","C1_FW_v01.07.0000.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.07.0000.bin","C1_FW_v01.07.0000.bin",3,"2016-08-26",30058336,
"C1","C1_FW_v01.07.0002.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.07.0002.bin","C1_FW_v01.07.0002.bin",3,"2016-07-08",30022496,
"C1","C1_FW_v01.07.0030.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.07.0030.bin","C1_FW_v01.07.0030.bin",3,"2016-07-14",30023072,
"C1","C1_FW_v01.07.0040.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.07.0040.bin","C1_FW_v01.07.0040.bin",3,"2016-07-27",30025824,
"C1","C1_FW_v01.07.0050.bin",,"https://dl.djicdn.com/downloads/inspire_1/C1_FW_v01.07.0050.bin","C1_FW_v01.07.0050.bin",3,"2017-07-08",21318556,
"C1","C1_FW_v01.07.0060.bin",,"http://dl.djicdn.com/downloads/inspire_1_rc/C1_FW_v01.07.0060.bin","C1_FW_v01.07.0060.bin",3,"2016-11-10",21318668,
"C1","C1_FW_v01.08.0000.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.08.0000.bin","C1_FW_v01.08.0000.bin",3,"2016-09-12",30058336,
"C1","C1_FW_v01.09.0000.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/RC_TEST/C1_FW_v01.09.0000.bin","C1_FW_v01.09.0000.bin",3,"2016-11-08",30058312,
"C1","C1_v00.01.00.00_20161012.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/C1_v00.01.00.00_20161012.bin","C1_v00.01.00.00_20161012.bin",3,"2016-10-12",405034,
"C1","C1_v00.01.00.01_20161021.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/C1_v00.01.00.01_20161021.bin","C1_v00.01.00.01_20161021.bin",3,"2016-10-21",405034,
"C1","C1_v00.01.00.01_20161104.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/C1_v00.01.00.01_20161104.bin","C1_v00.01.00.01_20161104.bin",3,"2016-11-04",394646,
"C1","LBTX_FW_V01.01.00.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/LBTX_FW_V01.01.00.bin","LBTX_FW_V01.01.00.bin",3,"2016-04-05",9206870,
"C1","LBTX_FW_V01.01.0010.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/LBTX_FW_V01.01.0010.bin","LBTX_FW_V01.01.0010.bin",3,"2016-05-25",9207638,
"C1","LBTX_FW_V01.01.0030.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/LBTX_FW_V01.01.0030.bin","LBTX_FW_V01.01.0030.bin",3,"2016-06-27",9210642,
"C1","LBTX_FW_V01.01.0031.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/LBTX_FW_V01.01.0031.bin","LBTX_FW_V01.01.0031.bin",3,"2016-07-27",9209002,
"C1","LBTX_FW_V01.01.0040.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/LBTX_FW_V01.01.0040.bin","LBTX_FW_V01.01.0040.bin",3,"2016-08-18",9210650,
"C1","LBTX_FW_V01.01.0041.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/LB2/LBTX_FW_V01.01.0041.bin","LBTX_FW_V01.01.0041.bin",3,"2016-03-29",9205798,
"ESC","ESC_FW_V01.00.00.11.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/ESC/ESC_FW_V01.00.00.11.bin","ESC_FW_V01.00.00.11.bin",3,"2017-01-03",128279,
"GL300E","GL300E_RC_v00.01.04.01_20161019.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/GL300E_RC_v00.01.04.01_20161019.bin","GL300E_RC_v00.01.04.01_20161019.bin",3,"2016-10-19",216948,
"GL300E","GL300E_RC_v00.01.05.00_20161024.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/GL300E_RC_v00.01.05.00_20161024.bin","GL300E_RC_v00.01.05.00_20161024.bin",3,"2016-10-24",153220,
"GL300E","GL300E_v00.01.00.00_154968013.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/GL300E_v00.01.00.00_154968013.bin","GL300E_v00.01.00.00_154968013.bin",3,"2016-09-21",148920,
"GL300E","p4pRC_v1.0.0.0_20161010.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/POMATO_RC/p4pRC_v1.0.0.0_20161010.bin","p4pRC_v1.0.0.0_20161010.bin",3,"2016-10-11",216948,
"HG300","HG300_FW_V01.01.00.01.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.01.bin","HG300_FW_V01.01.00.01.bin",3,"2016-04-29",418926,
"HG300","HG300_FW_V01.01.00.02.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.02.bin","HG300_FW_V01.01.00.02.bin",3,"2016-05-06",426486,
"HG300","HG300_FW_V01.01.00.04.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.04.bin","HG300_FW_V01.01.00.04.bin",3,"2016-05-19",620666,
"HG300","HG300_FW_V01.01.00.05.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.05.bin","HG300_FW_V01.01.00.05.bin",3,"2016-05-31",623138,
"HG300","HG300_FW_V01.01.00.06.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.06.bin","HG300_FW_V01.01.00.06.bin",3,"2016-06-01",623138,
"HG300","HG300_FW_V01.01.00.06_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.06_PC.bin","HG300_FW_V01.01.00.06_PC.bin",3,"2016-06-03",430122,
